S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
851.0,16-Aug-2023 05:30 PM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,[Request for Proposal (RFP) For Empanelment of agencies to Carry-out Drone Analytics Monitoring System for NHAI projects] [NHAI/Drone Analytics/001/2023] [2023_NHAI_164654_1],National Highways Authority of India,,Drone,NHAI projects
852.0,07-Sep-2023 05:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:05 PM,[BKO/HR/HV/Bolero/2023-RE] [BKO/HR/HV/Bolero/2023-RE] [2023_CCI_167016_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,,BKO,
853.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF GUIDE BUSH ] [ILP/AD2/ADI122/48/TE-1003] [2023_ILTD_167060_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,GUIDE BUSH
854.0,05-Sep-2023 05:30 PM,14-Sep-2023 03:00 PM,14-Sep-2023 04:00 PM,[PROVIDING MAINTENANCE SERVICES FOR OPTICAL FIBRE CABLE NETWORK OF INDIAN NAVY UNDER NCN PROJECT FOR WESTERN ZONE] [TCIL/ 69/01/WZ/23-NCN-01] [2023_TCIL_166747_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Defence Project Division - TCIL,,OPTICAL,WESTERN ZONE
855.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF GUIDE VA2] [ILP/SC2/ADP169/48/TE-1002 ] [2023_ILTD_167059_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,GUIDE VA2
856.0,31-Aug-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,"[Non-Comprehensive Annual Maintenance Contract of CME Environmental Chamber for Altitude, Temperature and Humidity Test] [PUR/133/ASL/RK/AMC/2023-24] [2023_CSIR_166128_1]",Council of Scientific and Industrial Research||CMERI-Durgapur - CSIR||Purchase-CMERI - CSIR,,Non,
857.0,30-Aug-2023 09:00 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,"[SITC of 1 no 10 passenger MRL type Lift for Telephone Exchange Building, Berhampur-2nd Call] [ 19/BSNL-EDB/2023-24] [2023_BSNL_166078_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||CE (Electrical),,SITC,1 no 10 passenger MRL type
858.0,30-Aug-2023 05:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 04:00 PM,"[DEVELOPMENT OF WATER BODY IN TAHIRPUR VILLAGE IN WARD NO. 34-E, SHAHDARA NORTH ZONE. ] [DDH/(HQ)I/MCD/2023-24/D-730/ NIT No.17.1] [2023_MCD_166049_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,WARD,
859.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Supply of Rubber Components] [ILP/SC2/ADP139/48/TE-1001 ] [2023_ILTD_167056_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,Rubber,
860.0,05-Sep-2023 05:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[ANNUAL MAINTENANCE CONTRACT OF TELEPHONE LINES AND TELEPHONE INSTRUMENTS WITH MATERIALS AT NSCBI AIRPORT KOLKATA] [ER-11020(19)/1/2023-CNS-ER] [2023_AAI_166697_1],Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||GENERAL-ER - AAI,['INDIA'],,NSCBI AIRPORT KOLKATA
861.0,08-Sep-2023 06:45 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Custom Chassis base 32 and 64 Channel RRH] [EE/RADH/012/2023/CH32AND64CH] [2023_IITM_167134_1],Indian Institute of Technology Madras||Project Purchase - IITM,,Channel,
862.0,24-Aug-2023 05:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,"[Reparing of epoxy flooring 2plus1 mm in cGMP, New Animal House and BSL 3 Divisions at IIIM, Jammu] [W11014/4/2023-Works] [2023_CSIR_165618_1]",Council of Scientific and Industrial Research||IIIM-Jammu - CSIR||ESD-IIM - CSIR,,New,"cGMP ,"
863.0,27-Jun-2023 06:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 02:00 PM,[Appointment of Safety Consultants for stretches under Development/ Construction in the State of Andhra Pradesh (Package-X)] [NHAI/RO-VJA/Safety Consultant (HAM)/Pkg X/ 2023] [2023_NHAI_159107_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Safety,Andhra Pradesh ( Package - X )
864.0,17-Aug-2023 06:45 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[OFC Rehabilitation work in Ayodhya division] [DGMTP-LW/SUL-RTTC OTN Patch Work/T-05/2023-24] [2023_BSNL_164831_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow,,OFC,Ayodhya division
865.0,07-Sep-2023 03:40 PM,14-Sep-2023 03:00 PM,15-Sep-2023 04:00 PM,[Procurement of Automatic Vending Machine (2 Nos) at LNG-LCNG station in Pathardi and Malegaon in Nashik for MNGL] [MNGL/CP/2023-24/84] [2023_MNGL_167000_1],Maharashtra Natural Gas Ltd.||Corporate Office Pune||Contracts and Procurement,,LNG,
866.0,06-Sep-2023 09:00 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,"[Renovation of UPS room in GOD building at CSIR-NIO, Dona Paula, Goa ] [19/413/2023-Wks] [2023_CSIR_166754_1]",Council of Scientific and Industrial Research||NIO-Goa - CSIR||ESD-NIO - CSIR,,CSIR,
867.0,18-Aug-2023 09:00 AM,14-Sep-2023 03:00 PM,15-Sep-2023 04:00 PM,[SUPPLY INSTALLATION TESTING AND COMMISSIONING OF ONE PASSENGER LIFT ] [IREL/CO/PT/18/2023] [2023_IREL_164835_1],IREL (INDIA) Limited||Corporate Office Mumbai - IREL,['INDIA'],,ONE PASSENGER LIFT
868.0,27-Jun-2023 05:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 12:00 PM,[Appointment of Safety Consultants for stretches under Development/ Construction in the State of Andhra Pradesh (Package-VI)] [NHAI/RO-VJA/Safety Consultant (HAM)/Pkg VI/ 2023] [2023_NHAI_159067_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Safety,Andhra Pradesh ( Package - VI )
869.0,08-Sep-2023 04:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF CASTING] [ILP/AD2/ADC031/23-24/TE-0993] [2023_ILTD_167111_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,CASTING
870.0,23-Aug-2023 06:55 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[SITC of ST AC units 1No 6KVA UPS and associated UPS LAN Intercom wiring works for Project Management unit office Kerala Road Fund board Trivandrum Recall] [29/EEE/ED/TVM/2023-24] [2023_BSNL_165480_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o CE (Electrical), Thiruvananthapuram",,SITC,
871.0,25-Aug-2023 05:25 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Fabrication and supply of an underwater robot prototype] [ED/ASOK/011/2023/FABRICATION] [2023_IITM_165752_1],Indian Institute of Technology Madras||Project Purchase - IITM,,,an underwater robot prototype
872.0,08-Sep-2023 05:00 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Civil Work] [MCD/TR/5477/2023_5_1_1/1] [2023_MCD_167119_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
873.0,30-Aug-2023 09:00 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,"[SITC of 1 no 10 passenger MRL type Lift for Telephone Exchange Building, Berhampur-2nd Call] [ 19/BSNL-EDB/2023-24] [2023_BSNL_166078_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||CE (Electrical),,SITC,1 no 10 passenger MRL type
874.0,09-Sep-2023 12:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[TRANSPORTATION OF BULK ANHYDROUS ETHANOL ] [HBL/TEN/23-24/222] [2023_HPCLB_167165_1],HPCL Biofuels Limited||Purchase (Patna),,,BULK ANHYDROUS ETHANOL
875.0,25-Aug-2023 05:55 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Construction of 2 Nos. of Toilet Blocks with Highway Nest Mini and providing of water ATM of capacity 150LPH at Km 116.500 on LHS and on RHS in Gananguru Toll Plaza of NH 275 in the State of Karnataka.] [NIT No.11/NHAI/RO-BNG/22016/Tender] [2023_NHAI_165770_1],National Highways Authority of India||RO-Bangalore - NHAI,,Toilet,Karnataka .
876.0,01-Sep-2023 06:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Construction of CISF security cabin building and miscellaneous work at CPT Bungalow in Zone B area] [16CE/RCM BMR/2023-24] [2023_VOCPT_166423_1],V.O.Chidambaranar Port Trust||Civil Department - Administration Office,,CISF,Zone B area
877.0,01-Sep-2023 06:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[upply of various Process/ Commercial Chemicals on door delivery Basis.] [HBL/TEN/PUB/23-24/206] [2023_HPCLB_166413_1],HPCL Biofuels Limited||Purchase (Patna),,Process/,various
878.0,01-Sep-2023 06:20 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Repair and replacement of CCTV surveillance system and its accessories for SEAF Division at CSIR-NEERI Nagpur] [50(15)/2023-24/W] [2023_CSIR_159261_3],Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||ESD-NEERI - CSIR,,CCTV,CSIR - NEERI Nagpur
879.0,30-Aug-2023 05:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 04:00 PM,"[DEVELOPMENT OF WATER BODY IN TAHIRPUR VILLAGE IN WARD NO. 34-E, SHAHDARA NORTH ZONE. ] [DDH/(HQ)I/MCD/2023-24/D-730/ NIT No.17.1] [2023_MCD_166049_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,WARD,
880.0,30-Aug-2023 11:40 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[C Type Bearing] [100000922] [2023_APCPL_166090_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,
881.0,31-Aug-2023 12:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[NCRTC/33KV CABLES/OT/108] [NCRTC/33KV CABLES/OT/108] [2023_IRCON_166203_1],IRCON International Limited||Corporate Head Quarters-New Delhi - IRCON||Electrical - IRCON,,CABLES,
882.0,17-Aug-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,"[Staff Canteen Facility at Operational Building, Kolkata] [AAI/Kol/Comml/Staff Canteen] [2023_AAI_164730_1]",Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||COMMERCIAL-VECC - AAI,['INDIA'],,"Operational Building , Kolkata"
883.0,08-Sep-2023 04:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF CASTING] [ILP/AD2/ADC031/23-24/TE-0993] [2023_ILTD_167111_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,CASTING
884.0,06-Sep-2023 09:00 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,"[Renovation of UPS room in GOD building at CSIR-NIO, Dona Paula, Goa ] [19/413/2023-Wks] [2023_CSIR_166754_1]",Council of Scientific and Industrial Research||NIO-Goa - CSIR||ESD-NIO - CSIR,,CSIR,
885.0,09-Sep-2023 12:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[TRANSPORTATION OF BULK ANHYDROUS ETHANOL ] [HBL/TEN/23-24/222] [2023_HPCLB_167165_1],HPCL Biofuels Limited||Purchase (Patna),,,BULK ANHYDROUS ETHANOL
886.0,29-Aug-2023 03:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Renovation work at CMC Library Annexe building in CSIR Campus] [480 (395)/2022-23/CW/EW] [2023_CSIR_165883_1],Council of Scientific and Industrial Research||CSIR Madras Complex-Chennai||ESD-CSIR MADRAS Cx. - CSIR,,,CSIR Campus
887.0,29-Aug-2023 12:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[18/RKS/AMC/382/2023-PB/T-93] [18/RKS/AMC/382/2023-PB/T-93] [2023_CSIR_165794_1],Council of Scientific and Industrial Research||NPL New Delhi - CSIR||Purchase-NPL - CSIR,,,
888.0,28-Aug-2023 05:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[EOI from Reputed Companies having Experience in Bridge and Road Construction are invited to associate as JV or Consortium or EPC partner for execution of Highway projects Tharad to Ahmedabad Bypass packages 01 to 05 in the state of Gujarat] [NHAI/ Tharad_Ahm_Exp /Pkg 01 to 05/EOI/08/23] [2023_IRCON_165897_1],IRCON International Limited||Corporate Head Quarters-New Delhi - IRCON||Business Development - IRCON,,EOI,Gujarat
889.0,08-Sep-2023 04:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF CASTING] [ILP/AD2/ADC031/23-24/TE-0996] [2023_ILTD_167103_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,CASTING
890.0,08-Sep-2023 04:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF CASTING] [ILP/AD2/ADC031/23-24/TE-0997] [2023_ILTD_167099_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,CASTING
891.0,08-Sep-2023 05:00 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Civil Work] [MCD/TR/5477/2023_5_1_1/1] [2023_MCD_167119_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
892.0,24-Aug-2023 09:30 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,"[Development of infrastructure for City side Traffic flow Management with Plaza, Pick-up lanes and necessary Ancillary facilities at Chennai Airport (Civil and Electrical works)] [AAI/CHN/CMD-II/2023/012] [2023_AAI_165471_1]",Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||ENGG CIVIL-VOMM - AAI,,Traffic,Chennai Airport (
893.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF PISTON SEAL FOR PCLT] [ILP/SC2/ADP139/48/TE-1004] [2023_ILTD_167067_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,PCLT
894.0,27-Jun-2023 06:10 PM,14-Sep-2023 03:00 PM,15-Sep-2023 01:30 PM,[Appointment of Safety Consultants for stretches under Development/ Construction in the State of Andhra Pradesh (Package-IX)] [NHAI/RO-VJA/Safety Consultant (HAM)/Pkg IX/ 2023] [2023_NHAI_159105_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Safety,Andhra Pradesh ( Package - IX )
895.0,24-Aug-2023 04:10 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[IRCON/2074/KGS/PwayViaduct /342] [IRCON/2074/KGS/PwayViaduct/342] [2023_IRCON_165237_1],IRCON International Limited||MP - IRCON||Katni Grade Separator - IRCON,,KGS,
896.0,25-Aug-2023 05:45 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Construction of Highway Nest mini with Toilet Blocks and Water ATM at Kanminiki Toll Plaza at Ch. 23.900 and Sheshagirihalli Toll Plaza at Ch. 26.800 in the stretch of Bangalore Nidagatta Mysore Section of NH275 in the State of Karnataka] [NIT No.10/NHAI/RO-BNG/22016/Tender] [2023_NHAI_165761_1],National Highways Authority of India||RO-Bangalore - NHAI,,Toilet,Karnataka
897.0,24-Aug-2023 04:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[EOI for Bio-Poll Air Sampling Device] [CSIR/CSIO/BDG/EOI/2023/04] [2023_CSIR_165583_1],Council of Scientific and Industrial Research||CSIO-Chandigarh - CSIR||Admin-CSIO - CSIR,,EOI,
898.0,07-Sep-2023 05:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:05 PM,[BKO/HR/HV/Bolero/2023-RE] [BKO/HR/HV/Bolero/2023-RE] [2023_CCI_167016_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,,BKO,
899.0,25-Aug-2023 05:25 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Fabrication and supply of an underwater robot prototype] [ED/ASOK/011/2023/FABRICATION] [2023_IITM_165752_1],Indian Institute of Technology Madras||Project Purchase - IITM,,,an underwater robot prototype
900.0,25-Aug-2023 05:55 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Construction of 2 Nos. of Toilet Blocks with Highway Nest Mini and providing of water ATM of capacity 150LPH at Km 116.500 on LHS and on RHS in Gananguru Toll Plaza of NH 275 in the State of Karnataka.] [NIT No.11/NHAI/RO-BNG/22016/Tender] [2023_NHAI_165770_1],National Highways Authority of India||RO-Bangalore - NHAI,,Toilet,Karnataka .
901.0,04-Sep-2023 06:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Supply of 120 boxes of HBA1C Cartridges Afinion 15 cartridges at VOCPA Hospital for a period of 6 Months under rate contract] [MED-OFXOF-MED-SURGI-V1-17] [2023_VOCPT_166593_1],V.O.Chidambaranar Port Trust||Medical Department - Administration Office,,HBA1C,6 Months under rate contract
902.0,31-Aug-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[PROCUREMENT OF BEARINGS REQUIRED FOR REVIVAL AND COMMISSIONING OF PTA PALNT AT MANGALORE] [GAIL/PA23/14048/KS] [2023_GAIL_166118_1],GAIL (India) Limited||GAIL India Limited- Pata,['INDIA'],,MANGALORE
903.0,06-Sep-2023 05:30 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,"[Procurement of Spare items for day to day repair/maintenance of 7 No. JCB Loaders working in DEMS and Maintenance Departments of West Zone, MCD.] [EE (AUTO)/WZ/MCD/2023-24/D-137] [2023_MCD_166935_1]",Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,"West Zone , MCD ."
904.0,24-Aug-2023 09:30 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,"[Development of infrastructure for City side Traffic flow Management with Plaza, Pick-up lanes and necessary Ancillary facilities at Chennai Airport (Civil and Electrical works)] [AAI/CHN/CMD-II/2023/012] [2023_AAI_165471_1]",Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||ENGG CIVIL-VOMM - AAI,,Traffic,Chennai Airport (
905.0,05-Sep-2023 09:00 AM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Civil Work] [MCD/TR/5615/2023_5_1_1/1] [2023_MCD_166635_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
906.0,22-Aug-2023 09:00 AM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,"[Dry docking, under water repairs and Docking Survey of Pilot launch M.L.Musal] [MEE/SE1MN/MAR/MUSAL.DD/2023] [2023_VOCPT_165168_1]",V.O.Chidambaranar Port Trust||Mechanical and Electrical Department - Administration Office,,Docking,
907.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF GUIDE VA2] [ILP/SC2/ADP169/48/TE-1002 ] [2023_ILTD_167059_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,GUIDE VA2
908.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF GUIDE BUSH ] [ILP/AD2/ADI122/48/TE-1003] [2023_ILTD_167060_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,GUIDE BUSH
909.0,07-Sep-2023 06:55 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Civil Work] [66/EEC/BSNL /JP/2023-24 ] [2023_BSNL_167028_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||CE (CIVIL)||EE(C) Jaipur,,,
910.0,07-Sep-2023 05:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:05 PM,[BKO/HR/HV/Bolero/2023-RE] [BKO/HR/HV/Bolero/2023-RE] [2023_CCI_167016_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,,BKO,
911.0,06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.5] [EE/M-II/NGZ/TC/2023-24/11] [2023_MCD_166834_5],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
912.0,06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.7] [EE/M-II/NGZ/TC/2023-24/11] [2023_MCD_166834_7],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
913.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF SPRING SEAT VA2] [ILP/SC2/ADF120/48/TE-1000] [2023_ILTD_167053_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,SPRING SEAT VA2
914.0,06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.9] [EE/M-II/NGZ/TC/2023-24/11] [2023_MCD_166834_9],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
915.0,01-Sep-2023 06:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Construction of CISF security cabin building and miscellaneous work at CPT Bungalow in Zone B area] [16CE/RCM BMR/2023-24] [2023_VOCPT_166423_1],V.O.Chidambaranar Port Trust||Civil Department - Administration Office,,CISF,Zone B area
916.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Supply of Rubber Components] [ILP/SC2/ADP139/48/TE-1001 ] [2023_ILTD_167056_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,Rubber,
917.0,06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.8] [EE/M-II/NGZ/TC/2023-24/11] [2023_MCD_166834_8],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
918.0,04-Sep-2023 05:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Procurement of TSI Spares of Main Turbine and TDBFP] [100001027] [2023_APCPL_163112_2],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,Main Turbine and TDBFP
919.0,05-Sep-2023 09:00 AM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Civil Work] [MCD/TR/5615/2023_5_1_1/1] [2023_MCD_166635_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
920.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Supply of Actuator Components] [ILP/SC2/ADP169/48/TE-1005 ] [2023_ILTD_167061_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,Actuator Components
921.0,27-Jun-2023 06:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 01:00 PM,[Appointment of Safety Consultants for stretches under Development/ Construction in the State of Andhra Pradesh (Package-VIII)] [NHAI/RO-VJA/Safety Consultant (HAM)/Pkg VIII/ 2023] [2023_NHAI_159083_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Safety,Andhra Pradesh ( Package - VIII )
922.0,23-Aug-2023 06:55 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[SITC of ST AC units 1No 6KVA UPS and associated UPS LAN Intercom wiring works for Project Management unit office Kerala Road Fund board Trivandrum Recall] [29/EEE/ED/TVM/2023-24] [2023_BSNL_165480_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o CE (Electrical), Thiruvananthapuram",,SITC,
923.0,06-Sep-2023 06:50 PM,14-Sep-2023 03:00 PM,14-Sep-2023 03:05 PM,[Nit No.11 Item No.2] [EE/M-II/NGZ/TC/2023-24/11] [2023_MCD_166834_2],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,
924.0,01-Sep-2023 06:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Construction of CISF security cabin building and miscellaneous work at CPT Bungalow in Zone B area] [16CE/RCM BMR/2023-24] [2023_VOCPT_166423_1],V.O.Chidambaranar Port Trust||Civil Department - Administration Office,,CISF,Zone B area
925.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Supply of Rubber Components] [ILP/SC2/ADP139/48/TE-1001 ] [2023_ILTD_167056_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,Rubber,
926.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF GAITER] [ILP/SC2/ADP139/48/TE-1007] [2023_ILTD_167073_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,GAITER
927.0,08-Sep-2023 03:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[SUPPLY OF GAUGE BLOCK SIEMENS] [ILP/SC2/ADP169/48/TE-0999] [2023_ILTD_167046_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),,,GAUGE BLOCK SIEMENS
928.0,27-Jun-2023 06:10 PM,14-Sep-2023 03:00 PM,15-Sep-2023 01:30 PM,[Appointment of Safety Consultants for stretches under Development/ Construction in the State of Andhra Pradesh (Package-IX)] [NHAI/RO-VJA/Safety Consultant (HAM)/Pkg IX/ 2023] [2023_NHAI_159105_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Safety,Andhra Pradesh ( Package - IX )
